Species,Code,Type,n,Q10,C,Tth,d,CTmax,Pmax,Topt,Tbreadth,R2
Macrosiphum euphorbiae,me,fit,6,2.34,0.0478,10.8,0.00273,29.9,0.2,21.5,19,0.966
Myzus persicae,Mp2,fit,6,3.29,0.0508,11.7,0.003,30,0.5,23.4,15.2,0.974
Myzus persicae,Mp3,fit,7,3.98,0.0181,7,0.00159,32.1,0.3,25.9,14.9,0.89
Paronychiurus kimi,pk,fit,5,5.17,0.0026,15.8,0.00547,29.3,0.1,24.5,11.1,0.968
Phyllonorycter corylifoliella,pc,fit,5,3.21,0.0065,17.6,0.0035,34.5,0.1,28,15,0.985
Rhizopertha dominica,rd,fit,6,7.24,0.0003,21,0.00318,38.7,0.1,34.4,10.4,0.965
Sesamia calamistis,sc1,fit,6,3.08,0.0125,24.5,0.01177,33.8,0.3,28.5,11.9,0.822
Sesamia calamistis,sc2,fit,6,3.31,0.0115,23.9,0.00702,35.8,0.3,30.1,12.8,0.995
Sesamia nonagrioides,sn1,fit,6,2.9,0.0146,24.1,0.01081,33.7,0.2,28.1,12.5,0.882
Sesamia nonagrioides,sn2,fit,6,3.47,0.0121,19.4,0.00381,35.6,0.3,29.4,14.2,0.962
Sitobion miscanthi,sm,fit,5,4.89,0.0122,14,0.00468,28.7,0.3,23.7,11.7,0.999
Stethorus punctillum,Sp,fit,8,8.63,0.0006,16.9,0.00343,34,0.2,30,9.6,0.948
Thrips tabaci,tt,fit,5,3.17,0.0108,22.4,0.01588,30.3,0.2,25.4,11.1,1
Toxoptera citricidus,tc,fit,7,3.89,0.0151,21,0.01018,30.9,0.4,26,11,0.895
Trichogramma bruni,Tb,fit,5,2.56,0.0201,25.3,0.01056,35,0.3,29.1,13.6,0.999
Trichogramma mwanzai,Tm,fit,5,2.73,0.027,20.5,0.00428,35.8,0.3,28.8,15.7,0.962
Trichogramma pretoisum,tp1,fit,6,4,0.0097,21.5,0.0057,34.7,0.4,29.4,12.2,0.984
Trichogrammatoidea lutea,tl,fit,5,3.71,0.01,26.5,0.01062,36.2,0.5,31.2,11.1,0.989
Trioxys utilis,tu,fit,6,8.8,0.0059,15.3,0.00771,26.7,0.5,23,8.7,0.974
Tetraneura nigriabdominalis,tn,fit,5,6.62,0.0029,12.9,0.00245,33.1,0.3,28.5,11.1,0.99
